SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
3817754,9686637,538006609,V7PA4,FRONT CHEETAH,8,1784782240,MH,MARSHALL ISLANDS,41,JEBEL ALI,AE,102,1784844000,AEJEA,,Tanker,46,52.142479,25.996771,3.0,4,4.3,,0,,,false
712801,9409986,350654000,H7AA4,GEB,8,1785644026,NI,NICARAGUA,20,,,,,TBA,AE,Tanker,6,56.824135,25.518333,4.0,,0.0,,0,20586,KHOR FAKKAN ANCH,false
8003897,9937799,636021546,5LEL7,AL BAHYAH,8,1783436950,LR,LIBERIA,7,,,,1783533600,FOR ORDERS,AE,Tanker,150,56.393082,25.186026,4.0,,3.5,,0,790,FUJAIRAH,false
728576,9188116,451800888,HQZT4,ATHE NOVA,8,1774788898,KG,KYRGYZSTAN,6,KHOR FAKKAN,AE,18560,1772445900,KFK,,Tanker,237,57.155228,24.187183,4.0,4,0.3,,0,,,false
5841747,9787948,319151100,ZGHZ4,BURRI,8,1785644190,KY,CAYMAN ISLANDS,59,SOHAR,OM,18567,1785628860,OMSOH,OM,Tanker,205,56.66708,24.550333,4.0,4,0.0,,0,22481,SOHAR ANCH,false
732302,9402782,636020801,5LAU3,OCEAN ELECTRA,8,1785644044,LR,LIBERIA,30,HAMRIYA FREE ZONE,AE,1699,1785463200,HAMRIYAH,AE,Tanker,238,55.34647,25.540308,4.0,4,0.0,,0,21985,SHARJAH ANCH,false
760524,9386861,642122013,5AWX,MAETIGA,8,1785644023,LY,LIBYA,68,FUJAIRAH,AE,790,1785497400,AE FJR,AE,Tanker,329,56.476128,25.171772,4.0,4,0.0,,0,20585,FUJAIRAH ANCH,false
731008,9561368,352005734,3E8939,EL BELLA,8,1785644157,PA,PANAMA,77,SINGAPORE,SG,290,,SINGAPORE,,Tanker,116,60.818825,23.82852,4.0,,4.4,2026-08-02 04:05:00,3100,,,true
6143442,9858486,403736001,HZMK,SANAM,8,1783646860,SA,SAUDI ARABIA,8,,,,1783477200,FOR ORDERS,,Tanker,92,50.561272,27.194492,3.0,,11.6,,0,,,false
460631,9325336,371394000,3ECL5,EL GAIA,8,1785644038,PA,PANAMA,85,SOHAR,OM,18567,1785638520,OMSOH,OM,Tanker,207,56.696186,24.623684,4.0,4,0.0,,0,22481,SOHAR ANCH,false
